cluster,rules
50,"[{'marital_status': ['Célibataire']}, {'city': ['KORHOGO']}, {'milieu_resid': ['Urbain']}, {'region_name': ['PORO']}, {'bancarise': [0]}]"
44,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GBEKE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
72,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'city': ['BOUAKE']}, {'milieu_resid': ['Urbain']}, {'region_name': ['GBEKE']}, {'bancarise': [0]}]"
49,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'city': ['BOUAKE']}, {'milieu_resid': ['Urbain']}, {'region_name': ['GBEKE']}, {'bancarise': [0]}]"
90,"[{'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['INDENIE-DJUABLIN']}, {'bancarise': [0]}]"
96,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['INDENIE-DJUABLIN']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
83,"[{'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['TONKPI']}, {'bancarise': [0]}]"
84,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
57,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['TONKPI']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
36,"[{'marital_status': ['Célibataire']}, {'city': ['YAMOUSSOUKRO']}, {'region_name': ['YAMOUSSOUKRO']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
29,"[{'city': ['YAMOUSSOUKRO']}, {'milieu_resid': ['Urbain']}, {'region_name': ['YAMOUSSOUKRO']}, {'bancarise': [1]}]"
38,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GONTOUGO']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
54,"[{'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['SAN-PEDRO']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
78,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['SAN-PEDRO']}, {'bancarise': [0]}]"
40,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['SAN-PEDRO']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
61,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
0,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'region_name': [""N'ZI""]}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
74,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['MARAHOUE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
45,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['MARAHOUE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
4,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['MARAHOUE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
30,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['SUD-COMOE']}, {'bancarise': [0]}]"
79,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
66,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['WORODOUGOU']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
48,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['LÔH-DJIBOUA']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
70,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['LÔH-DJIBOUA']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
39,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['AGNEBY-TIASSA']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
95,"[{'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['GÔH']}, {'bancarise': [0]}]"
28,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GÔH']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
32,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GÔH']}, {'bancarise': [0]}]"
27,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['BAGOUE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
82,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['BAGOUE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
58,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['BELIER']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
26,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['BERE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
35,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['BERE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
47,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['BOUNKANI']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
16,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['FOLON']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
51,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['FOLON']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
37,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GBÔKLE']}, {'bancarise': [0]}]"
65,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GBÔKLE']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
67,"[{'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['GRANDS-PONTS']}, {'bancarise': [0]}]"
5,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GRANDS-PONTS']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
87,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GUEMON']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
20,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['GUEMON']}, {'bancarise': [0]}]"
46,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['GUEMON']}, {'bancarise': [0]}]"
73,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['HAMBOL']}, {'bancarise': [0]}]"
63,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['IFFOU']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
86,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['IFFOU']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
42,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Urbain']}, {'region_name': ['IFFOU']}, {'bancarise': [0]}]"
18,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['NAWA']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
43,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['NAWA']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
69,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['TCHOLOGO']}, {'bancarise': [0]}]"
41,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['TCHOLOGO']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
75,"[{'sex': ['Féminin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['MORONOU']}, {'bancarise': [0]}, {'age_group': ['0-14']}]"
89,"[{'sex': ['Masculin']}, {'marital_status': ['Célibataire']}, {'milieu_resid': ['Rural']}, {'region_name': ['MORONOU']}, {'bancarise': [0]}]"
