region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),45-54,5,0,.60000002,0,.2,0,.80000001,0,0
AUTONOME D'ABIDJAN,Féminin,Séparé,45-54,8,52238.125,.375,.125,.125,0,.625,.25,.125
AUTONOME D'ABIDJAN,Masculin,Célibataire,55-64,7,358768.19,.71428573,0,.14285715,.14285715,.71428573,0,.2857143
AUTONOME D'ABIDJAN,Masculin,Marié(e) monogame,55-64,93,144319.39,.88172042,.10752688,.29032257,.043010753,.58064514,.086021505,.19354838
AUTONOME D'ABIDJAN,Masculin,Marié(e) polygame,55-64,6,39650.832,.66666669,.16666667,.33333334,0,.66666669,0,.16666667
AUTONOME D'ABIDJAN,Masculin,Union libre,55-64,8,85136.313,.75,0,.125,0,.75,.125,.25
AUTONOME D'ABIDJAN,Masculin,Veuf(ve),55-64,2,0,1,0,.5,0,.5,0,0
AUTONOME D'ABIDJAN,Masculin,Séparé,55-64,1,0,0,0,0,0,1,0,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,55-64,15,0,.60000002,0,.40000001,.2,.26666668,.13333334,0
AUTONOME D'ABIDJAN,Féminin,Marié(e) monogame,55-64,49,48417.777,.77551019,.020408163,.53061223,.06122449,.40816328,0,.2857143
AUTONOME D'ABIDJAN,Féminin,Marié(e) polygame,55-64,5,0,.40000001,0,.60000002,0,.2,.2,0
AUTONOME D'ABIDJAN,Féminin,Union libre,55-64,2,0,1,0,.5,0,.5,0,.5
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),55-64,50,0,.63999999,0,.38,.02,.54000002,.059999999,.12
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),55-64,7,228571.28,.5714286,.14285715,.42857143,.14285715,.42857143,0,.2857143
AUTONOME D'ABIDJAN,Féminin,Séparé,55-64,2,0,0,0,0,0,1,0,.5
AUTONOME D'ABIDJAN,Masculin,Marié(e) monogame,65+,44,21730.033,.88636363,.022727273,.59090906,.06818182,.27272728,.06818182,.20454545
AUTONOME D'ABIDJAN,Masculin,Marié(e) polygame,65+,5,12000,.40000001,0,.80000001,0,0,.2,0
AUTONOME D'ABIDJAN,Masculin,Union libre,65+,2,0,.5,0,1,0,0,0,0
AUTONOME D'ABIDJAN,Masculin,Veuf(ve),65+,3,0,1,0,.66666669,0,.33333334,0,0
AUTONOME D'ABIDJAN,Féminin,Célibataire,65+,8,0,.75,0,.5,0,.5,0,.125
AUTONOME D'ABIDJAN,Féminin,Marié(e) monogame,65+,10,0,.60000002,0,.60000002,.1,.2,.1,.30000001
AUTONOME D'ABIDJAN,Féminin,Marié(e) polygame,65+,3,0,0,0,1,0,0,0,0
AUTONOME D'ABIDJAN,Féminin,Union libre,65+,1,0,0,0,1,0,0,0,0
AUTONOME D'ABIDJAN,Féminin,Veuf(ve),65+,34,1911.7646,.67647058,0,.55882353,.029411765,.2647059,.14705883,.17647059
AUTONOME D'ABIDJAN,Féminin,Divorcé(e),65+,2,0,.5,0,.5,0,0,.5,.5
AUTONOME D'ABIDJAN,Féminin,Séparé,65+,2,0,0,0,0,0,.5,.5,0
HAUT-SASSANDRA,Masculin,Célibataire,0-14,798,271.51212,0,0,.22180451,.49874687,.093984962,.18546365,.015037594
HAUT-SASSANDRA,Féminin,Célibataire,0-14,703,0,0,0,.18776672,.49644381,.12233286,.19345662,.021337127
HAUT-SASSANDRA,Masculin,Célibataire,15-24,208,5899.9536,.39903846,.0048076925,.14423077,.44230768,.23076923,.1826923,.009615385
HAUT-SASSANDRA,Masculin,Marié(e) monogame,15-24,5,60000,.80000001,.2,0,.2,0,.80000001,0
HAUT-SASSANDRA,Masculin,Union libre,15-24,6,42796.168,.5,.16666667,.16666667,.66666669,0,.16666667,0
HAUT-SASSANDRA,Féminin,Célibataire,15-24,162,2655.2695,.38271606,0,.20987654,.36419752,.2345679,.19135803,.024691358
HAUT-SASSANDRA,Féminin,Marié(e) monogame,15-24,49,3537.4148,.34693879,0,.10204082,.34693879,.20408164,.34693879,0
HAUT-SASSANDRA,Féminin,Marié(e) polygame,15-24,16,0,.25,0,.25,.4375,.125,.1875,0
HAUT-SASSANDRA,Féminin,Union libre,15-24,14,0,.2857143,0,.071428575,.5714286,.071428575,.2857143,0
HAUT-SASSANDRA,Masculin,Célibataire,25-34,59,20295.865,.66101694,0,.16949153,.49152541,.18644068,.15254237,.016949153
HAUT-SASSANDRA,Masculin,Marié(e) monogame,25-34,59,20172.5,.76271188,0,.16949153,.42372882,.16949153,.23728813,0
HAUT-SASSANDRA,Masculin,Marié(e) polygame,25-34,4,0,.5,0,0,.75,0,.25,0
HAUT-SASSANDRA,Masculin,Union libre,25-34,15,26444.443,.60000002,.06666667,.06666667,.46666667,.13333334,.33333334,.06666667
HAUT-SASSANDRA,Masculin,Veuf(ve),25-34,1,0,1,0,1,0,0,0,0
HAUT-SASSANDRA,Féminin,Célibataire,25-34,24,2500,.625,0,.16666667,.45833334,.16666667,.20833333,0
HAUT-SASSANDRA,Féminin,Marié(e) monogame,25-34,115,9198.5508,.38260868,.034782607,.14782609,.46086955,.2173913,.17391305,.052173913
HAUT-SASSANDRA,Féminin,Marié(e) polygame,25-34,51,0,.3137255,0,.11764706,.54901963,.078431375,.25490198,0
HAUT-SASSANDRA,Féminin,Union libre,25-34,22,1818.1818,.27272728,0,.045454547,.59090906,.18181819,.18181819,0
HAUT-SASSANDRA,Féminin,Veuf(ve),25-34,1,0,0,0,0,0,0,1,0
HAUT-SASSANDRA,Féminin,Séparé,25-34,1,0,1,0,0,1,0,0,0
