,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
517,73,bancarise,catégorielle,,,,,,0,100.0
518,74,age_num,numérique,7.978208232445521,7.0,5.6548810160823555,0.0,34.0,,
519,74,sex,catégorielle,,,,,,Féminin,100.0
520,74,marital_status,catégorielle,,,,,,Célibataire,99.75786924939467
521,74,city,catégorielle,,,,,,BOUAFLE,14.285714285714285
522,74,milieu_resid,catégorielle,,,,,,Rural,100.0
523,74,region_name,catégorielle,,,,,,MARAHOUE,100.0
524,74,bancarise,catégorielle,,,,,,0,100.0
525,75,age_num,numérique,9.201970443349754,8.0,7.040448628476114,0.0,34.0,,
526,75,sex,catégorielle,,,,,,Féminin,100.0
527,75,marital_status,catégorielle,,,,,,Célibataire,99.50738916256158
528,75,city,catégorielle,,,,,,ANDE,22.167487684729064
529,75,milieu_resid,catégorielle,,,,,,Rural,100.0
530,75,region_name,catégorielle,,,,,,MORONOU,100.0
531,75,bancarise,catégorielle,,,,,,0,100.0
532,76,age_num,numérique,48.02628434886499,48.0,4.447651622747283,39.0,59.0,,
533,76,sex,catégorielle,,,,,,Masculin,100.0
534,76,marital_status,catégorielle,,,,,,Marié(e),95.6989247311828
535,76,city,catégorielle,,,,,,BOUAKE,10.63321385902031
536,76,milieu_resid,catégorielle,,,,,,Urbain,100.0
537,76,region_name,catégorielle,,,,,,GBEKE,10.991636798088411
538,76,bancarise,catégorielle,,,,,,1,100.0
539,77,age_num,numérique,9.556407447973713,9.0,6.857640076240883,0.0,36.0,,
540,77,sex,catégorielle,,,,,,Masculin,100.0
541,77,marital_status,catégorielle,,,,,,Célibataire,100.0
542,77,city,catégorielle,,,,,,BOCANDA,4.216867469879518
543,77,milieu_resid,catégorielle,,,,,,Rural,100.0
544,77,region_name,catégorielle,,,,,,GONTOUGO,21.905805038335156
545,77,bancarise,catégorielle,,,,,,0,100.0
546,78,age_num,numérique,9.630653266331658,8.0,7.764919178539222,0.0,39.0,,
547,78,sex,catégorielle,,,,,,Masculin,100.0
548,78,marital_status,catégorielle,,,,,,Célibataire,99.74874371859298
549,78,city,catégorielle,,,,,,GRAND-BEREBY,25.125628140703515
550,78,milieu_resid,catégorielle,,,,,,Rural,100.0
551,78,region_name,catégorielle,,,,,,SAN-PEDRO,100.0
552,78,bancarise,catégorielle,,,,,,0,100.0
553,79,age_num,numérique,9.30976430976431,8.0,6.257946498607379,0.0,31.0,,
554,79,sex,catégorielle,,,,,,Féminin,100.0
555,79,marital_status,catégorielle,,,,,,Célibataire,100.0
556,79,city,catégorielle,,,,,,ADAOU,8.080808080808081
557,79,milieu_resid,catégorielle,,,,,,Rural,100.0
558,79,region_name,catégorielle,,,,,,SUD-COMOE,57.407407407407405
559,79,bancarise,catégorielle,,,,,,0,100.0
560,80,age_num,numérique,36.50949367088607,36.0,9.967772398560289,15.0,61.0,,
561,80,sex,catégorielle,,,,,,Féminin,100.0
562,80,marital_status,catégorielle,,,,,,Union libre,56.80379746835443
563,80,city,catégorielle,,,,,,BOCANDA,1.5822784810126582
564,80,milieu_resid,catégorielle,,,,,,Rural,100.0
565,80,region_name,catégorielle,,,,,,BELIER,6.645569620253164
566,80,bancarise,catégorielle,,,,,,0,100.0
567,81,age_num,numérique,16.04710793082886,15.0,4.974114286147981,9.0,40.0,,
568,81,sex,catégorielle,,,,,,Masculin,100.0
569,81,marital_status,catégorielle,,,,,,Célibataire,99.76147883124628
570,81,city,catégorielle,,,,,,DIVO,2.564102564102564
571,81,milieu_resid,catégorielle,,,,,,Urbain,100.0
572,81,region_name,catégorielle,,,,,,LA ME,7.155635062611807
573,81,bancarise,catégorielle,,,,,,0,100.0
574,82,age_num,numérique,8.908376963350785,8.0,5.991199406188827,0.0,31.0,,
575,82,sex,catégorielle,,,,,,Masculin,100.0
576,82,marital_status,catégorielle,,,,,,Célibataire,100.0
577,82,city,catégorielle,,,,,,TENGRELA,21.465968586387437
578,82,milieu_resid,catégorielle,,,,,,Rural,100.0
579,82,region_name,catégorielle,,,,,,BAGOUE,100.0
580,82,bancarise,catégorielle,,,,,,0,100.0
581,83,age_num,numérique,9.889182058047494,9.0,6.3756617348095,0.0,33.0,,
582,83,sex,catégorielle,,,,,,Féminin,76.2532981530343
583,83,marital_status,catégorielle,,,,,,Célibataire,99.47229551451187
584,83,city,catégorielle,,,,,,MAN,48.812664907651715
585,83,milieu_resid,catégorielle,,,,,,Urbain,100.0
586,83,region_name,catégorielle,,,,,,TONKPI,100.0
587,83,bancarise,catégorielle,,,,,,0,100.0
