,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
165,23,milieu_resid,catégorielle,,,,,,Urbain,100.0
166,23,region_name,catégorielle,,,,,,AUTONOME D'ABIDJAN,15.949820788530467
167,23,bancarise,catégorielle,,,,,,1,100.0
168,24,age_num,numérique,40.63163371488033,40.0,4.4483967404803195,33.0,49.0,,
169,24,sex,catégorielle,,,,,,Féminin,100.0
170,24,marital_status,catégorielle,,,,,,Marié(e),100.0
171,24,city,catégorielle,,,,,,GOULIA,1.3007284079084287
172,24,milieu_resid,catégorielle,,,,,,Rural,100.0
173,24,region_name,catégorielle,,,,,,HAUT-SASSANDRA,6.815816857440167
174,24,bancarise,catégorielle,,,,,,0,100.0
175,25,age_num,numérique,8.046551724137931,7.0,5.473715352862198,0.0,34.0,,
176,25,sex,catégorielle,,,,,,Féminin,100.0
177,25,marital_status,catégorielle,,,,,,Célibataire,99.6551724137931
