cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,82,Masculin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,24,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,23,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,58,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,57,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,75,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,36,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,70,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,67,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,25,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,30,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,75,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,31,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,44,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,22,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,53,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,33,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,27,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,33,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,47,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,21,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,37,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,33,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,41,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
