mstat,rev_total_mois,age_grp,empl_formel,bancarise,a_assurance,logem,Profil_Score
2,0.0,2,0,1,0,1,56
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,2,0,0,0,1,49
0,0.0,0,0,0,0,1,30
2,70000.0,3,0,1,0,1,64
0,0.0,2,0,1,0,1,44
2,87966.664,4,0,1,0,1,64
2,0.0,3,0,0,0,1,52
5,0.0,5,0,0,0,1,39
0,0.0,1,0,1,0,1,42
0,0.0,0,0,0,0,1,30
5,0.0,6,0,1,0,1,44
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
0,0.0,1,0,1,0,1,42
0,0.0,0,0,1,0,1,37
5,0.0,5,0,1,0,1,46
0,0.0,1,0,1,0,1,42
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,0,20
0,100000.0,2,1,1,0,0,42
0,0.0,0,0,0,0,0,20
2,0.0,5,0,1,0,0,46
2,0.0,4,0,1,1,0,52
0,0.0,1,0,1,0,0,32
0,0.0,0,0,0,0,1,30
4,0.0,2,0,1,0,1,56
4,75000.0,5,0,1,0,1,61
0,0.0,0,0,0,0,1,30
5,0.0,3,0,1,0,0,39
0,60000.0,2,0,0,0,1,42
0,30000.0,2,0,1,0,2,54
5,0.0,4,0,0,0,3,52
0,0.0,2,0,0,0,3,47
5,0.0,6,0,1,0,3,54
5,0.0,4,0,0,0,3,52
0,56000.0,2,0,1,0,3,59
0,0.0,1,0,1,0,3,52
0,0.0,0,0,0,0,3,40
0,0.0,1,0,0,0,3,45
4,125000.0,4,0,1,0,3,74
0,70258.023,2,0,1,0,3,59
0,70000.0,3,0,1,0,3,62
0,0.0,0,0,0,0,3,40
0,64255.0,4,1,1,1,3,68
0,0.0,0,0,0,0,3,40
4,0.0,3,0,1,0,3,69
1,0.0,5,0,1,0,3,54
0,0.0,0,0,0,0,3,40
0,200000.0,2,0,1,0,1,49
2,45000.0,4,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,40000.0,1,0,1,0,1,42
2,315000.0,6,1,1,1,1,70
5,0.0,5,0,1,1,3,59
0,0.0,2,0,0,0,3,47
0,90000.0,2,0,0,1,3,55
0,0.0,0,0,0,1,3,43
0,85000.0,2,0,1,0,2,59
0,0.0,0,0,0,0,2,40
2,84000.0,4,0,1,0,2,74
0,0.0,0,0,0,0,2,40
0,20000.0,4,0,1,0,2,57
0,0.0,1,0,1,0,2,52
5,0.0,5,0,1,0,3,56
0,250000.0,3,1,1,0,3,65
0,250000.0,2,1,1,0,3,62
0,50000.0,2,0,1,0,3,59
0,0.0,2,0,1,0,3,54
0,0.0,3,0,1,0,3,57
0,0.0,0,0,0,0,3,40
0,0.0,4,0,1,0,3,57
0,0.0,1,0,0,0,3,45
5,0.0,6,0,0,0,3,47
0,0.0,0,0,0,0,1,30
2,210000.0,3,0,1,0,1,64
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,3,0,1,0,1,59
0,0.0,1,0,1,0,1,42
0,90000.0,2,0,1,0,1,49
0,0.0,5,0,1,0,1,44
0,0.0,3,0,1,0,1,47
0,0.0,0,0,0,0,1,30
0,0.0,1,0,0,0,1,35
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
0,0.0,3,0,1,0,1,47
5,0.0,5,0,0,0,1,39
0,0.0,2,0,1,0,1,44
0,0.0,2,0,1,0,1,44
0,0.0,0,0,0,0,1,30
2,0.0,3,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,3,0,1,0,1,59
2,0.0,2,0,1,0,1,56
2,60000.0,4,0,1,0,1,64
0,0.0,0,0,0,0,1,30
2,0.0,5,0,1,0,3,66
0,0.0,2,0,1,0,3,54
2,74811.961,4,0,1,0,3,74
0,0.0,2,0,1,0,3,54
0,0.0,2,0,1,0,3,54
2,0.0,3,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,189785.88,5,1,1,0,1,64
0,0.0,0,0,0,0,1,30
2,31607.334,3,0,1,0,1,59
0,0.0,0,0,0,0,1,30
2,0.0,3,0,1,0,1,59
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,3,0,1,0,1,59
2,75000.0,4,0,1,0,1,64
2,0.0,4,0,1,0,1,59
0,0.0,1,0,0,0,1,35
2,0.0,2,0,1,0,1,56
0,0.0,1,0,0,0,1,35
0,0.0,0,0,0,0,1,30
0,60000.0,2,0,0,0,1,42
2,0.0,4,0,1,0,1,59
0,0.0,1,0,0,0,1,35
0,0.0,1,0,1,0,1,42
2,100000.0,4,0,1,0,1,64
0,0.0,2,0,1,0,1,44
0,85000.0,2,0,1,0,1,49
0,0.0,2,0,1,0,1,44
0,0.0,1,0,1,0,1,42
0,0.0,1,0,1,0,1,42
0,0.0,2,0,1,0,1,44
0,112000.0,1,0,1,0,1,47
0,0.0,1,0,0,0,1,35
0,80000.0,1,0,1,0,1,47
0,0.0,1,0,1,0,1,42
0,0.0,1,0,1,0,1,42
0,0.0,2,0,1,0,1,44
0,0.0,1,0,1,0,1,42
0,150000.0,2,0,1,0,1,49
0,0.0,1,0,1,0,1,42
0,50000.0,2,0,1,0,1,49
0,0.0,1,0,0,0,1,35
0,0.0,1,0,0,0,1,35
2,0.0,2,0,1,0,1,56
2,180000.0,4,0,1,0,1,64
0,0.0,0,0,1,0,1,37
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,0,1,30
2,0.0,3,0,1,0,1,59
0,0.0,2,0,1,0,1,44
0,0.0,0,0,0,0,1,30
0,0.0,0,0,0,1,0,23
4,150000.0,5,0,1,1,0,54
0,0.0,0,0,0,1,0,23
0,0.0,0,0,0,1,0,23
4,95333.336,4,0,1,1,0,57
0,0.0,1,0,1,1,0,35
0,0.0,0,0,1,1,0,30
0,95333.336,2,0,1,0,1,49
0,156000.0,2,0,1,0,1,49
4,0.0,2,0,1,0,1,56
0,0.0,0,0,0,0,1,30
4,0.0,3,0,1,0,1,59
5,0.0,6,0,0,0,1,37
0,0.0,2,0,0,0,1,37
0,0.0,0,0,0,0,1,30
0,370333.34,2,0,1,0,1,54
0,60666.668,2,0,1,0,1,49
0,80000.0,3,0,1,0,1,52
5,0.0,5,0,1,0,3,56
0,0.0,0,0,0,0,3,40
0,0.0,2,0,1,0,3,54
0,270000.0,4,0,1,0,1,52
0,0.0,0,0,0,0,2,40
